variable,years,short_desc,long_desc,sources,category,plaintext_cite,bibtex_cite,plaintext_cite2,bibtex_cite2,plaintext_cite3,bibtex_cite3,plaintext_cite4,bibtex_cite4
gsptotal,1963-2016,Gross state product total,GDP by state is the state counterpart of the nation's gross domestic product (GDP). GDP by state is derived as the sum of the GDP originating in all the industries in a state (in millions of current dollars),"US Department of Commerce Bureau of Economic Analysis. 2012. 'NAICS Per Capita GDP by state/SIC Per Capita GDP by state.' Accessed at: http://www.bea.gov/regional/downloadzip.cfm.
Note: There is a discontinuity in the GDP-by-state time series at 1997, where the data change from SIC industry definitions to NAICS industry definitions. This discontinuity results from many sources, including differences in source data and different estimation methodologies. In addition, the NAICS-based GDP-by-state estimates are consistent with U.S. gross domestic product (GDP) while the SIC-based GDP-by-state estimates are consistent with U.S. gross domestic income (GDI). This data discontinuity may affect both the levels and the growth rates of the GDP-by-state estimates. NAICS industry defined data was used for 1997.",economic-fiscal,"Product, Gross Domestic. ""US Department of Commerce, Bureau of Economic Analysis."" URL: http://research. stlouisfed. org/fred2/categories/18 (2012).","@article{product2012us,
  title={US Department of Commerce, Bureau of Economic Analysis},
  author={Product, Gross Domestic},
  journal={URL: http://research. stlouisfed. org/fred2/categories/18},
  year={2012}
}",NA,NA,NA,NA,NA,NA
incomepcap,1929-2019,Income per capita,Per capita personal income is the income that is received by persons from all sources. Total personal income divided by total midyear population.,"U.S. Department of Commerce, Bureau of Economic Analysis. 'SA1-3 Personal income summary.' Accessed at: http://www.bea.gov/iTable/iTable.cfm?ReqID=70&step=1#reqid=70&step=1 &isuri=1.
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)
Note: This measure of income is calculated as the personal income of the residents of a given area divided by the resident population of the area. In computing per capita personal income, BEA uses the Census Bureau's annual midyear population estimates.",economic-fiscal,"U.S. Department of Commerce, Bureau of Economic Analysis. “SA1-3 Personal income summary.” URL:  http://www.bea.gov/iTable/iTable.cfm?ReqID=70&step=1#reqid=70&step=1&isuri=1 (2019)","@article{summaryus,
  title={SA1-3 Personal income summary},
  author={U.S. Department of Commerce, Bureau of Economic Analysis}
  journal={URL: http://www.bea.gov/iTable/iTable.cfm?ReqID=70&step=1#reqid=70&step=1&isuri=1},
  year={2019}
}",NA,NA,NA,NA,NA,NA
pctwomenearn,2002-2011,Women's earnings as a percent of men's,Percent of women's median weekly earnings as a percent of men's (all races). Data calculated from median usual weekly earnings of full-time wage and salary workers.,"U.S. Bureau of Labor Statistics. 2016. 'Women's Earnings as a Percent of Men's Earnings.' Accessed at: http://www.bls.gov/cps/earnings.htm#demographics.
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)
Note: In general, the sampling error for the state estimates is considerably larger than it is for the national estimates; thus, comparisons of state estimates should be made with caution. Data measure usual hourly and weekly earnings of wage and salary workers. All self-employed persons are excluded, regardless of whether their businesses are incorporated. Data represent earnings before taxes and other deductions and include any overtime pay, commissions, or tips usually received. The earnings data are collected from one-fourth of the CPS total sample of approximately 60,000 households.",economic-fiscal,U.S. Bureau of Labor Statistics. “Women’s Earnings as a Percent of Men’s Earnings.”http://www.bls.gov/cps/earnings.htm#demographics (2016),"@article{us2016womens
  title={Women’s Earnings as a Percent of Men’s Earnings},
  author={U.S Bureau of Labor Statistics},
  journal={URL: http://www.bea.gov/iTable/iTable.cfm?ReqID=70&step=1#reqid=70&step=1&isuri=1},
  year={2016}
}",NA,NA,NA,NA,NA,NA
unemployment,"1975-1994, 1996-2017",Employment status of the civilian noninstitutional population,"Unemployment rate, measured as percentage of state's labor force that is out of work.","Bureau of Labor Statistics. 2012. 'Labor Force Statistics from the Current Population Survey.'
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)
For 2005-2017: University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data",economic-fiscal,Bureau of Labor Statistics. “Labor Force Statistics from the Current Population Survey.” https://www.bls.gov/cps/cps_aa2012.htm (2012),"@article{bureau2012labor
  title={Labor Force Statistics from the Current Population Survey},
  author={U.S Bureau of Labor Statistics},
  journal={URL: https://www.bls.gov/cps/cps_aa2012.htm},
  year={2012}
}","University of Kentucky Center for Poverty Research, 2019. UKCPR National Welfare Data, 1980–2017.","@misc{university2019ukcpr,
  title={UKCPR National Welfare Data, 1980--2017},
  author={University of Kentucky Center for Poverty Research},
  year={2019},
  publisher={Gatto College of Business and Economics, University of Kentucky Lexington, KY}
}",NA,NA,NA,NA
bankrupt,"1901, 1902, 1904, 1906, 1908, 1909, 1911, 1913, 1915, 1918, 1920, 1922, 1924, 1925, 1927, 1929, 1931, 1934, 1936, 1938, 1940, 1941, 1943, 1945, 1947, 1948, 1950, 1952, 1954, 1957, 1959, 1961, 1963, 1964, 1966, 1968, 1970, 1973, 1975, 1977, 1979, 1980, 1982, 1984, 1986, 1987, 1989, 1991, 1993, 1996, 1998, 2000, 2002, 2003, 2005, 2007, 2009, 2012, 2014, 2016",Number of bankruptcy filings in state,This variable displays the total number of bankruptcy case filings in each state for calendar years 1999-2009. The value in each year is calculated by taking the sum of bankruptcy cases that were filed in each state.,"The United States Department of Justice. 2012. 'Total Case Filings, Calendar Years 1999-2009.' Accessed at: https://www.justice.gov/ust/bankruptcy-data- statistics
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)
Note: Source of filing data is the Administrative Office of the U.S. Courts. The substantial decrease in 2006 across all states is mainly due to the introduction of the Bankruptcy Abuse Prevention and Consumer Protection Act of 2005.",economic-fiscal,"The United States Department of Justice. “Total Case Filings, Calendar Years 1999-2009.” https://www.justice.gov/ust/bankruptcy-data-statistics (2012)","@article{united2012total
  title={Total Case Filings, Calendar Years 1999-2009},
  author={The United States Department of Justice},
  journal={URL: https://www.justice.gov/ust/bankruptcy-data-statistics},
  year={2012}
}",NA,NA,NA,NA,NA,NA
foodstampben,2002-2011,Food stamp benefits,"Average monthly food stamp benefits per person in a fiscal year. Food stamps are defined as a federal entitlement program providing credit to purchase food items for people earning less than 130% of the federal poverty line. The federal fiscal year runs from October 1 through September 30. (Avg. dollars per participant.) The number of persons participating is reported monthly.
Annual averages are the sums divided by twelve.","Kaiser Family Organization. 2016. 'Average Monthly Food Stamp Benefits per Participant.' Accessed at: http://kff.org/other/state-indicator/avg- monthly-food-stamp-benefits/. Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)
Note: In 2008, the 'Food Stamp' program was re-named SNAP: Supplemental Nutrition Assistance Program. The name change reflects the program's focus on nutrition and putting healthy food within reach for low income households. 2011 data are preliminary. Generally SNAP households must have monthly gross income less than 130 percent of the Federal poverty guidelines ($2,422 for a family of four in fiscal year 2012), monthly net income less than 100 percent of the poverty guidelines, and assets of less than $2,000. SNAP clients can buy all foods carrying a nutrition facts label and intended to be eaten at home. Some items, such as alcoholic beverages, cigarettes, vitamins or medicines and pet foods are not allowed.",economic-fiscal,Kaiser Family Organization. “Average Monthly Food Stamp Benefits per Participant.” http://kff.org/other/state-indicator/avg-monthly-food-stamp-benefits/ (2016),"@article{kaiser2016average
  title={Average Monthly Food Stamp Benefits per Participant},
  author={Kaiser Family Organization},
  journal={URL: http://kff.org/other/state-indicator/avg-monthly-food-stamp-benefits/ },
  year={2016}
}",NA,NA,NA,NA,NA,NA
statemin,1980-2017,State minimum wage,State minimum wage in dollars.,"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data",economic-fiscal,"Froberg, Ruthann. ""Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees."" (2019).","@article{froberg2019analyzing,
  title={Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees},
  author={Froberg, Ruthann},
  year={2019}
}",NA,NA,NA,NA,NA,NA
employed,1980-2017,Employed population (total number),Total number of people employed within the state.,"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data",economic-fiscal,"Froberg, Ruthann. ""Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees."" (2019).","@article{froberg2019analyzing,
  title={Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees},
  author={Froberg, Ruthann},
  year={2019}
}",NA,NA,NA,NA,NA,NA
unemployed,1980-2017,Unemployed population (total number),Total number of people unemployed within the state.,"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data",economic-fiscal,"Froberg, Ruthann. ""Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees."" (2019).","@article{froberg2019analyzing,
  title={Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees},
  author={Froberg, Ruthann},
  year={2019}
}",NA,NA,NA,NA,NA,NA
afdc_case,1980-2017,"AFDC/TANF
caseloads",Average monthly number of total family caseloads for AFDC/TANF within a year.,"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data",economic-fiscal,"Froberg, Ruthann. ""Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees."" (2019).","@article{froberg2019analyzing,
  title={Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees},
  author={Froberg, Ruthann},
  year={2019}
}",NA,NA,NA,NA,NA,NA
afdc_rep,1980-2017,"AFDC/TANF
recipients",Average monthly number of total recipients of AFDC/TANF within a year.,"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data",economic-fiscal,"Froberg, Ruthann. ""Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees."" (2019).","@article{froberg2019analyzing,
  title={Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees},
  author={Froberg, Ruthann},
  year={2019}
}",NA,NA,NA,NA,NA,NA
afdccases_childonly,1985-2017,"AFDC/TANF
child-only caseloads",Average monthly number of total no- parent (child-only) caseloads for AFDC/TANF within a year.,"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data",economic-fiscal,"Froberg, Ruthann. ""Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees."" (2019).","@article{froberg2019analyzing,
  title={Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees},
  author={Froberg, Ruthann},
  year={2019}
}",NA,NA,NA,NA,NA,NA
marginallyfoodinsecure,2001-2017,Marginally food insecure,"Proportion of individuals deemed marginally food insecure (i.e., answer 'yes' to at least one question from the Core Food Security Model, Current Population Survey)","University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data",economic-fiscal,"Froberg, Ruthann. ""Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees."" (2019).","@article{froberg2019analyzing,
  title={Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees},
  author={Froberg, Ruthann},
  year={2019}
}",NA,NA,NA,NA,NA,NA
foodinsecure,2001-2017,Food insecure,"Proportion of individuals deemed food insecure (i.e., answer 'yes' to at least three questions from the Core Food Security Model, Current Population Survey)","University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data",economic-fiscal,"Froberg, Ruthann. ""Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees."" (2019).","@article{froberg2019analyzing,
  title={Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees},
  author={Froberg, Ruthann},
  year={2019}
}",NA,NA,NA,NA,NA,NA
verylowfoodsecure,2001-2017,Very low food insecure,"Proportion of individuals deemed very low food insecure (i.e., answer 'yes' to at least eight questions from the Core Food Security Model, Current Population Survey)","University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data",economic-fiscal,"Froberg, Ruthann. ""Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees."" (2019).","@article{froberg2019analyzing,
  title={Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees},
  author={Froberg, Ruthann},
  year={2019}
}",NA,NA,NA,NA,NA,NA
foodstamp_case,1980-2017,Food stamp/SNAP caseloads,Average monthly number of total caseloads for food stamps/SNAP within a year.,"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data",economic-fiscal,"Froberg, Ruthann. ""Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees."" (2019).","@article{froberg2019analyzing,
  title={Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees},
  author={Froberg, Ruthann},
  year={2019}
}",NA,NA,NA,NA,NA,NA
foodstamp_rep,1980-2017,Food stamp/SNAP recipients,Average monthly number of persons receiving food stamps/SNAP within a year.,"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data",economic-fiscal,"Froberg, Ruthann. ""Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees."" (2019).","@article{froberg2019analyzing,
  title={Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees},
  author={Froberg, Ruthann},
  year={2019}
}",NA,NA,NA,NA,NA,NA
nslp_free,1989-2017,NSLP free participation,Participation in the National School Lunch Program (free),"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data",economic-fiscal,"Froberg, Ruthann. ""Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees."" (2019).","@article{froberg2019analyzing,
  title={Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees},
  author={Froberg, Ruthann},
  year={2019}
}",NA,NA,NA,NA,NA,NA
nslp_reduced,1989-2017,NSLP reduced participation,Participation in the National School Lunch Program (reduced),"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data",economic-fiscal,"Froberg, Ruthann. ""Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees."" (2019).","@article{froberg2019analyzing,
  title={Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees},
  author={Froberg, Ruthann},
  year={2019}
}",NA,NA,NA,NA,NA,NA
nslp_total,1989-2017,Total NSLP participation,Total participation in the National School Lunch Program,"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data",economic-fiscal,"Froberg, Ruthann. ""Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees."" (2019).","@article{froberg2019analyzing,
  title={Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees},
  author={Froberg, Ruthann},
  year={2019}
}",NA,NA,NA,NA,NA,NA
sbp_free,1989-2017,SBP free participation,Participation in the School Breakfast Program (free),"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data",economic-fiscal,"Froberg, Ruthann. ""Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees."" (2019).","@article{froberg2019analyzing,
  title={Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees},
  author={Froberg, Ruthann},
  year={2019}
}",NA,NA,NA,NA,NA,NA
sbp_reduced,1989-2017,SBP reduced participation,Participation in the School Breakfast Program (reduced),"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data",economic-fiscal,"Froberg, Ruthann. ""Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees."" (2019).","@article{froberg2019analyzing,
  title={Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees},
  author={Froberg, Ruthann},
  year={2019}
}",NA,NA,NA,NA,NA,NA
sbp_total,1989-2017,Total SBP participation,Total participation in the School Breakfast Program,"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data",economic-fiscal,"Froberg, Ruthann. ""Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees."" (2019).","@article{froberg2019analyzing,
  title={Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees},
  author={Froberg, Ruthann},
  year={2019}
}",NA,NA,NA,NA,NA,NA
povrate,1980-2017,State poverty rate,"Estimated percent of individuals living in poverty. Note: The official poverty definition uses money income before taxes and does not include capital gains or noncash benefits (such as public housing, Medicaid, and food stamps).","University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data",economic-fiscal,"Froberg, Ruthann. ""Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees."" (2019).","@article{froberg2019analyzing,
  title={Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees},
  author={Froberg, Ruthann},
  year={2019}
}",NA,NA,NA,NA,NA,NA
ssirecipients_aged,1990-2017,Number of aged SSI recipients,Number of persons receiving federally administered Social Security Income (SSI) payments under aged enrollment category,"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data",economic-fiscal,"Froberg, Ruthann. ""Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees."" (2019).","@article{froberg2019analyzing,
  title={Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees},
  author={Froberg, Ruthann},
  year={2019}
}",NA,NA,NA,NA,NA,NA
ssirecipients_blind,1990-2017,Number of blind SSI recipients,Number of persons receiving federally administered Social Security Income (SSI) payments under blind enrollment category,"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data",economic-fiscal,"Froberg, Ruthann. ""Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees."" (2019).","@article{froberg2019analyzing,
  title={Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees},
  author={Froberg, Ruthann},
  year={2019}
}",NA,NA,NA,NA,NA,NA
ssirecipients_disabled,1990-2017,Number of disabled SSI recipients,Number of persons receiving federally administered Social Security Income (SSI) payments under disabled enrollment category,"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data",economic-fiscal,"Froberg, Ruthann. ""Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees."" (2019).","@article{froberg2019analyzing,
  title={Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees},
  author={Froberg, Ruthann},
  year={2019}
}",NA,NA,NA,NA,NA,NA
ssirecipients_total,1990-2017,Total number of SSI recipients,Number of persons receiving federally administered Social Security Income (SSI) payments,"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data",economic-fiscal,"Froberg, Ruthann. ""Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees."" (2019).","@article{froberg2019analyzing,
  title={Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees},
  author={Froberg, Ruthann},
  year={2019}
}",NA,NA,NA,NA,NA,NA
ssistate,1980-2011,Maximum SSI state benefits,Maximum amount of SSI benefits from state,"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data
Note: This variable is no longer being updated by the source.",economic-fiscal,"University of Kentucky Center for Poverty Research, 2019. UKCPR National Welfare Data, 1980–2017.","@misc{university2019ukcpr,
  title={UKCPR National Welfare Data, 1980--2017},
  author={University of Kentucky Center for Poverty Research},
  year={2019},
  publisher={Gatto College of Business and Economics, University of Kentucky Lexington, KY}
}",NA,NA,NA,NA,NA,NA
ssitotal,1980-2011,Total SSI benefits,Maximum total SSI benefits (state plus federal),"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data
Note: This variable is no longer being updated by the source.",economic-fiscal,"University of Kentucky Center for Poverty Research, 2019. UKCPR National Welfare Data, 1980–2017.","@misc{university2019ukcpr,
  title={UKCPR National Welfare Data, 1980--2017},
  author={University of Kentucky Center for Poverty Research},
  year={2019},
  publisher={Gatto College of Business and Economics, University of Kentucky Lexington, KY}
}",NA,NA,NA,NA,NA,NA
stateeitcrate,1980-2017,State EITC rate,"State Earned Income Tax Credit, as a percentage of federal credit","University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data",economic-fiscal,"Froberg, Ruthann. ""Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees."" (2019).","@article{froberg2019analyzing,
  title={Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees},
  author={Froberg, Ruthann},
  year={2019}
}",NA,NA,NA,NA,NA,NA
wicparticipation,1989-2017,"WIC
participation","Total participation in the Women, Infants, and Children Program","University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data",economic-fiscal,"Froberg, Ruthann. ""Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees."" (2019).","@article{froberg2019analyzing,
  title={Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees},
  author={Froberg, Ruthann},
  year={2019}
}",NA,NA,NA,NA,NA,NA
workerscompensation,1980-2017,Workers' compensation,Total state workers' compensation spending in thousands of dollars,"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data",economic-fiscal,"Froberg, Ruthann. ""Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees."" (2019).","@article{froberg2019analyzing,
  title={Analyzing the Presence of State-Run Retirement Plans for Private Sector Employees},
  author={Froberg, Ruthann},
  year={2019}
}",NA,NA,NA,NA,NA,NA
aapfdp,"1957, 1962, 1967, 1972, 1977-2000, 2002, 2004-2016",Alaska Permanent Fund Dividend actual payouts,Alaska Permanent Fund Dividend actual payouts (previous calendar year),"Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309-26.",economic-fiscal,"Sorens, J., Muedini, F. and Ruger, W.P., 2008. US state and local public policies in 2006: A new database. State Politics & Policy Quarterly, 8(3), pp.309-326.","@article{sorens2008us,
  title={US state and local public policies in 2006: A new database},
  author={Sorens, Jason and Muedini, Fait and Ruger, William P},
  journal={State Politics \& Policy Quarterly},
  volume={8},
  number={3},
  pages={309--326},
  year={2008},
  publisher={SAGE Publications Sage CA: Los Angeles, CA}
}
",NA,NA,NA,NA,NA,NA
aairpi,"1957, 1962, 1967, 1972, 1977-2000, 2002, 2004-2015","Air transportation spending, % of income","Air transportation spending, % of income (aairspt / apersinc)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309-26.",economic-fiscal,"Sorens, J., Muedini, F. and Ruger, W.P., 2008. US state and local public policies in 2006: A new database. State Politics & Policy Quarterly, 8(3), pp.309-326.","@article{sorens2008us,
  title={US state and local public policies in 2006: A new database},
  author={Sorens, Jason and Muedini, Fait and Ruger, William P},
  journal={State Politics \& Policy Quarterly},
  volume={8},
  number={3},
  pages={309--326},
  year={2008},
  publisher={SAGE Publications Sage CA: Los Angeles, CA}
}
",NA,NA,NA,NA,NA,NA
aairspt,"1957, 1962, 1967, 1972, 1977-2000, 2002, 2004-2015","State and local government air transportation direct expenditure, in millions of dollars","State and local government air transportation direct expenditure, in millions of dollars","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309-26.",economic-fiscal,"Sorens, J., Muedini, F. and Ruger, W.P., 2008. US state and local public policies in 2006: A new database. State Politics & Policy Quarterly, 8(3), pp.309-326.","@article{sorens2008us,
  title={US state and local public policies in 2006: A new database},
  author={Sorens, Jason and Muedini, Fait and Ruger, William P},
  journal={State Politics \& Policy Quarterly},
  volume={8},
  number={3},
  pages={309--326},
  year={2008},
  publisher={SAGE Publications Sage CA: Los Angeles, CA}
}
",NA,NA,NA,NA,NA,NA
aalct,"1957, 1962, 1967, 1972, 1977-2000, 2002, 2004-2015","State and local alcohol tax revenues, in millions of dollars","State and local alcohol tax revenues, in millions of dollars","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309-26.",economic-fiscal,"Sorens, J., Muedini, F. and Ruger, W.P., 2008. US state and local public policies in 2006: A new database. State Politics & Policy Quarterly, 8(3), pp.309-326.","@article{sorens2008us,
  title={US state and local public policies in 2006: A new database},
  author={Sorens, Jason and Muedini, Fait and Ruger, William P},
  journal={State Politics \& Policy Quarterly},
  volume={8},
  number={3},
  pages={309--326},
  year={2008},
  publisher={SAGE Publications Sage CA: Los Angeles, CA}
}
",NA,NA,NA,NA,NA,NA
aalct2,"1956, 1961, 1966, 1971, 1976-1999, 2001, 2003-2011","State and local alcohol tax revenues, in millions of dollars","State and local alcohol tax revenues, in millions of dollars (values for subsequent fiscal year)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309-26.",economic-fiscal,"Sorens, J., Muedini, F. and Ruger, W.P., 2008. US state and local public policies in 2006: A new database. State Politics & Policy Quarterly, 8(3), pp.309-326.","@article{sorens2008us,
  title={US state and local public policies in 2006: A new database},
  author={Sorens, Jason and Muedini, Fait and Ruger, William P},
  journal={State Politics \& Policy Quarterly},
  volume={8},
  number={3},
  pages={309--326},
  year={2008},
  publisher={SAGE Publications Sage CA: Los Angeles, CA}
}
",NA,NA,NA,NA,NA,NA
aslcash,"1995-2000, 2002, 2004-2017","State and local government cash and security holdings, other than trust funds, in millions of dollars","State and local government cash and security holdings, other than trust funds, in millions of dollars (NASBO used to apply changes to estimate most recent years, in italics)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309-26.",economic-fiscal,"Sorens, J., Muedini, F. and Ruger, W.P., 2008. US state and local public policies in 2006: A new database. State Politics & Policy Quarterly, 8(3), pp.309-326.","@article{sorens2008us,
  title={US state and local public policies in 2006: A new database},
  author={Sorens, Jason and Muedini, Fait and Ruger, William P},
  journal={State Politics \& Policy Quarterly},
  volume={8},
  number={3},
  pages={309--326},
  year={2008},
  publisher={SAGE Publications Sage CA: Los Angeles, CA}
}
",NA,NA,NA,NA,NA,NA
